set_id,quiz_id,country_name,image,question_text,option_a,option_b,option_c,option_d,correct_answer
Set_67,201,Saint Martin,Set_67_201_(saint_martin).png,Which country does this flag belong to?,Antarctica,Liechtenstein,Ukraine,Saint Martin,Saint Martin
Set_68,202,Serbia,Set_68_202_(serbia).png,Which country does this flag belong to?,Dominica,Germany,Serbia,Nicaragua,Serbia
Set_68,203,Suriname,Set_68_203_(suriname).png,Which country does this flag belong to?,Nepal,Brunei Darussalam,Suriname,Wallis and Futuna Islands,Suriname
Set_68,204,Saint Pierre and Miquelon,Set_68_204_(saint_pierre_and_miquelon).png,Which country does this flag belong to?,Niue,Saint Pierre and Miquelon,Slovenia,Croatia,Saint Pierre and Miquelon
Set_69,205,Singapore,Set_69_205_(singapore).png,Which country does this flag belong to?,Singapore,Kenya,Kiribati,Zimbabwe,Singapore
Set_69,206,Syrian Arab Republic,Set_69_206_(syrian_arab_republic).png,Which country does this flag belong to?,Qatar,Syrian Arab Republic,Guam,Gambia,Syrian Arab Republic
Set_69,207,Saint Vincent and the Grenadines,Set_69_207_(saint_vincent_and_the_grenadines).png,Which country does this flag belong to?,Saint Vincent and the Grenadines,Syrian Arab Republic,Antigua and Barbuda,Eritrea,Saint Vincent and the Grenadines
Set_70,208,Slovakia,Set_70_208_(slovakia).png,Which country does this flag belong to?,Trinidad and Tobago,Benin,Slovakia,Faroe Islands,Slovakia
Set_70,209,Tajikistan,Set_70_209_(tajikistan).png,Which country does this flag belong to?,Tajikistan,Saint Pierre and Miquelon,Czech Republic,"Saint Helena, Ascension and Tristan da Cunha",Tajikistan
Set_70,210,Sao Tome and Principe,Set_70_210_(sao_tome_and_principe).png,Which country does this flag belong to?,Sao Tome and Principe,Seychelles,Bulgaria,Jordan,Sao Tome and Principe
Set_71,211,Slovenia,Set_71_211_(slovenia).png,Which country does this flag belong to?,Spain,Saint Barthélemy,Malta,Slovenia,Slovenia
Set_71,212,Togo,Set_71_212_(togo).png,Which country does this flag belong to?,Togo,Mali,Oman,Malta,Togo
Set_71,213,Scotland,Set_71_213_(scotland).png,Which country does this flag belong to?,Taiwan (Republic of China),Uruguay,Scotland,Sierra Leone,Scotland
Set_72,214,South Africa,Set_72_214_(south_africa).png,Which country does this flag belong to?,Sweden,South Africa,Spain,Togo,South Africa
Set_72,215,Tokelau,Set_72_215_(tokelau).png,Which country does this flag belong to?,Tokelau,Togo,Belarus,Antarctica,Tokelau
Set_72,216,Sierra Leone,Set_72_216_(sierra_leone).png,Which country does this flag belong to?,Comoros,Sierra Leone,Haiti,Chile,Sierra Leone
Set_73,217,Spain,Set_73_217_(spain).png,Which country does this flag belong to?,Ecuador,Mauritius,Spain,Côte d'Ivoire,Spain
Set_73,218,Tonga,Set_73_218_(tonga).png,Which country does this flag belong to?,Sweden,Bouvet Island,Europe,Tonga,Tonga
Set_73,219,Sint Maarten,Set_73_219_(sint_maarten).png,Which country does this flag belong to?,Sint Maarten,Fiji,Montserrat,Jersey,Sint Maarten
Set_74,220,Sri Lanka,Set_74_220_(sri_lanka).png,Which country does this flag belong to?,Pitcairn,Georgia,French Polynesia,Sri Lanka,Sri Lanka
Set_74,221,Turkmenistan,Set_74_221_(turkmenistan).png,Which country does this flag belong to?,Turkmenistan,Mauritania,"Virgin Islands, British",Zimbabwe,Turkmenistan
Set_74,222,Solomon Islands,Set_74_222_(solomon_islands).png,Which country does this flag belong to?,Norfolk Island,Brazil,Chile,Solomon Islands,Solomon Islands
Set_75,223,Sweden,Set_75_223_(sweden).png,Which country does this flag belong to?,Sweden,United States,Hong Kong,Tonga,Sweden
Set_75,224,Tuvalu,Set_75_224_(tuvalu).png,Which country does this flag belong to?,Qatar,Tuvalu,Austria,Holy See,Tuvalu
Set_75,225,South Georgia and the South Sandwich Islands,Set_75_225_(south_georgia_and_the_south_sandwich_islands).png,Which country does this flag belong to?,South Georgia and the South Sandwich Islands,Belarus,Bahrain,Svalbard and Jan Mayen Islands,South Georgia and the South Sandwich Islands
Set_76,226,Switzerland,Set_76_226_(switzerland).png,Which country does this flag belong to?,Switzerland,Tunisia,Cameroon,Mongolia,Switzerland
Set_76,227,Uganda,Set_76_227_(uganda).png,Which country does this flag belong to?,United States,Uganda,Timor-Leste,Scotland,Uganda
Set_76,228,South Sudan,Set_76_228_(south_sudan).png,Which country does this flag belong to?,Lithuania,South Sudan,Myanmar,Anguilla,South Sudan
Set_77,229,Thailand,Set_77_229_(thailand).png,Which country does this flag belong to?,Costa Rica,Thailand,Latvia,Isle of Man,Thailand
Set_77,230,United Arab Emirates,Set_77_230_(united_arab_emirates).png,Which country does this flag belong to?,United Arab Emirates,Nigeria,Saint Martin,Uzbekistan,United Arab Emirates
Set_77,231,Svalbard and Jan Mayen Islands,Set_77_231_(svalbard_and_jan_mayen_islands).png,Which country does this flag belong to?,Svalbard and Jan Mayen Islands,Scotland,Haiti,Indonesia,Svalbard and Jan Mayen Islands
Set_78,232,Tunisia,Set_78_232_(tunisia).png,Which country does this flag belong to?,Cape Verde,Cayman Islands,Martinique,Tunisia,Tunisia
Set_78,233,US Minor Outlying Islands,Set_78_233_(us_minor_outlying_islands).png,Which country does this flag belong to?,Nigeria,Solomon Islands,Guinea,US Minor Outlying Islands,US Minor Outlying Islands
Set_78,234,Taiwan (Republic of China),Set_78_234_(taiwan).png,Which country does this flag belong to?,Western Sahara,Taiwan (Republic of China),Jersey,Saint Barthélemy,Taiwan (Republic of China)
Set_79,235,Ukraine,Set_79_235_(ukraine).png,Which country does this flag belong to?,Western Sahara,Ukraine,Argentina,British Indian Ocean Territory,Ukraine
Set_79,236,Uzbekistan,Set_79_236_(uzbekistan).png,Which country does this flag belong to?,Honduras,Uzbekistan,French Guiana,Belgium,Uzbekistan
Set_79,237,"Tanzania, United Republic of",Set_79_237_(tanzania_united).png,Which country does this flag belong to?,"Tanzania, United Republic of",Kenya,Tonga,Christmas Island,"Tanzania, United Republic of"
Set_80,238,United Kingdom,Set_80_238_(united_kingdom).png,Which country does this flag belong to?,Barbados,Mayotte,United Kingdom,Taiwan (Republic of China),United Kingdom
Set_80,239,Vanuatu,Set_80_239_(vanuatu).png,Which country does this flag belong to?,Vanuatu,Saint Barthélemy,Uganda,Monaco,Vanuatu
Set_80,240,Timor-Leste,Set_80_240_(timor-leste).png,Which country does this flag belong to?,Afghanistan,Malaysia,Timor-Leste,Greece,Timor-Leste
Set_81,241,United States,Set_81_241_(united_states).png,Which country does this flag belong to?,Saint Pierre and Miquelon,United States,Monaco,Heard Island and McDonald Islands,United States
Set_81,242,"Virgin Islands, British",Set_81_242_(virgin_islands_british).png,Which country does this flag belong to?,"Virgin Islands, British",Lebanon,French Southern Territories,Monaco,"Virgin Islands, British"
Set_81,243,Trinidad and Tobago,Set_81_243_(trinidad_and_tobago).png,Which country does this flag belong to?,Ireland,Wallis and Futuna Islands,Trinidad and Tobago,Åland Islands,Trinidad and Tobago
Set_82,244,Uruguay,Set_82_244_(uruguay).png,Which country does this flag belong to?,"Saint Helena, Ascension and Tristan da Cunha",Libya,Hungary,Uruguay,Uruguay
Set_82,245,Virgin Islands Us,Set_82_245_(virgin_islands_us).png,Which country does this flag belong to?,Virgin Islands Us,Saudi Arabia,Senegal,Côte d'Ivoire,Virgin Islands Us
Set_82,246,Turks and Caicos Islands,Set_82_246_(turks_and_caicos_islands).png,Which country does this flag belong to?,Turks and Caicos Islands,Kyrgyzstan,Montserrat,Mozambique,Turks and Caicos Islands
Set_83,247,"Venezuela, Bolivarian Republic of",Set_83_247_(venezuela_bolivarian).png,Which country does this flag belong to?,Vanuatu,Taiwan (Republic of China),Western Sahara,"Venezuela, Bolivarian Republic of","Venezuela, Bolivarian Republic of"
Set_83,248,Wallis and Futuna Islands,Set_83_248_(wallis_and_futuna_islands).png,Which country does this flag belong to?,Wallis and Futuna Islands,Faroe Islands,Cocos Islands,Ethiopia,Wallis and Futuna Islands
Set_83,249,Wales,Set_83_249_(wales).png,Which country does this flag belong to?,Thailand,Kyrgyzstan,Wales,"Virgin Islands, British",Wales
Set_84,250,Vietnam,Set_84_250_(vietnam).png,Which country does this flag belong to?,South Georgia and the South Sandwich Islands,Vietnam,Greenland,Antigua and Barbuda,Vietnam
