set_id,quiz_id,country_name,image,question_text,option_a,option_b,option_c,option_d,correct_answer
Set_51,151,Monaco,Set_51_151_(monaco).png,Which country does this flag belong to?,Monaco,Korea Democratic Peoples,Mozambique,Greenland,Monaco
Set_51,152,Montenegro,Set_51_152_(montenegro).png,Which country does this flag belong to?,Montenegro,Jordan,Singapore,Ireland,Montenegro
Set_51,153,New Caledonia,Set_51_153_(new_caledonia).png,Which country does this flag belong to?,New Caledonia,Georgia,Turks and Caicos Islands,Faroe Islands,New Caledonia
Set_52,154,Morocco,Set_52_154_(morocco).png,Which country does this flag belong to?,Niger,Morocco,Mayotte,Singapore,Morocco
Set_52,155,Mozambique,Set_52_155_(mozambique).png,Which country does this flag belong to?,Mozambique,Cook Islands,Iceland,Grenada,Mozambique
Set_52,156,Niue,Set_52_156_(niue).png,Which country does this flag belong to?,Gabon,South Sudan,China,Niue,Niue
Set_53,157,Nepal,Set_53_157_(nepal).png,Which country does this flag belong to?,French Southern Territories,Nepal,American Samoa,Bosnia and Herzegovina,Nepal
Set_53,158,Myanmar,Set_53_158_(myanmar).png,Which country does this flag belong to?,"Saint Helena, Ascension and Tristan da Cunha",Falkland Islands,Myanmar,Czech Republic,Myanmar
Set_53,159,Norfolk Island,Set_53_159_(norfolk_island).png,Which country does this flag belong to?,Norfolk Island,Czech Republic,Kosovo,India,Norfolk Island
Set_54,160,Netherlands,Set_54_160_(netherlands).png,Which country does this flag belong to?,Zimbabwe,Austria,Papua New Guinea,Netherlands,Netherlands
Set_54,161,Namibia,Set_54_161_(namibia).png,Which country does this flag belong to?,Grenada,Namibia,China,Liberia,Namibia
Set_54,162,Northern Ireland,Set_54_162_(northern_ireland).png,Which country does this flag belong to?,Russian Federation,Northern Ireland,Svalbard and Jan Mayen Islands,Europe,Northern Ireland
Set_55,163,New Zealand,Set_55_163_(new_zealand).png,Which country does this flag belong to?,Oman,New Zealand,Syrian Arab Republic,Russian Federation,New Zealand
Set_55,164,Nicaragua,Set_55_164_(nicaragua).png,Which country does this flag belong to?,Russian Federation,Kenya,Dominica,Nicaragua,Nicaragua
Set_55,165,Northern Mariana Islands,Set_55_165_(northern_mariana_islands).png,Which country does this flag belong to?,Denmark,Ireland,Martinique,Northern Mariana Islands,Northern Mariana Islands
Set_56,166,Nigeria,Set_56_166_(nigeria).png,Which country does this flag belong to?,Nigeria,Sint Maarten,Slovenia,England,Nigeria
Set_56,167,Niger,Set_56_167_(niger).png,Which country does this flag belong to?,Djibouti,Benin,Niger,Panama,Niger
Set_56,168,Palau,Set_56_168_(palau).png,Which country does this flag belong to?,"Virgin Islands, British",Nigeria,Virgin Islands Us,Palau,Palau
Set_57,169,Norway,Set_57_169_(norway).png,Which country does this flag belong to?,Tonga,Poland,Norway,Indonesia,Norway
