set_id,quiz_id,country_name,image,question_text,option_a,option_b,option_c,option_d,correct_answer
Set_17,51,"Congo, the Democratic Republic of the",Set_17_051_(congo_the_democratic_the).png,Which country does this flag belong to?,Caribbean Netherlands,Tokelau,"Congo, the Democratic Republic of the",Mexico,"Congo, the Democratic Republic of the"
Set_18,52,Cyprus,Set_18_052_(cyprus).png,Which country does this flag belong to?,Cambodia,Chile,Cyprus,Tokelau,Cyprus
Set_18,53,Central African Republic,Set_18_053_(central_african_republic).png,Which country does this flag belong to?,Martinique,Central African Republic,Spain,Yemen,Central African Republic
Set_18,54,Cook Islands,Set_18_054_(cook_islands).png,Which country does this flag belong to?,El Salvador,Marshall Islands,Saudi Arabia,Cook Islands,Cook Islands
Set_19,55,Denmark,Set_19_055_(denmark).png,Which country does this flag belong to?,Guinea,Northern Ireland,Denmark,United Kingdom,Denmark
Set_19,56,Chad,Set_19_056_(chad).png,Which country does this flag belong to?,Moldova,Bhutan,Chad,Sierra Leone,Chad
Set_19,57,Curaçao,Set_19_057_(curaçao).png,Which country does this flag belong to?,Cook Islands,Curaçao,Djibouti,Ethiopia,Curaçao
Set_20,58,Ecuador,Set_20_058_(ecuador).png,Which country does this flag belong to?,Ecuador,Åland Islands,Jamaica,Mongolia,Ecuador
Set_20,59,Czech Republic,Set_20_059_(czech_republic).png,Which country does this flag belong to?,Switzerland,Czech Republic,Antigua and Barbuda,Mauritius,Czech Republic
Set_20,60,Côte d'Ivoire,Set_20_060_(côte_divoire).png,Which country does this flag belong to?,Hong Kong,Côte d'Ivoire,Slovakia,French Guiana,Côte d'Ivoire
Set_21,61,Egypt,Set_21_061_(egypt).png,Which country does this flag belong to?,Egypt,Gabon,Panama,Palau,Egypt
Set_21,62,Dominica,Set_21_062_(dominica).png,Which country does this flag belong to?,Turkmenistan,Bahamas,Dominica,Bouvet Island,Dominica
Set_21,63,Djibouti,Set_21_063_(djibouti).png,Which country does this flag belong to?,Kenya,Djibouti,Vietnam,Equatorial Guinea,Djibouti
Set_22,64,Estonia,Set_22_064_(estonia).png,Which country does this flag belong to?,Estonia,Northern Mariana Islands,Malta,Malawi,Estonia
Set_22,65,Dominican Republic,Set_22_065_(dominican_republic).png,Which country does this flag belong to?,Dominican Republic,American Samoa,Philippines,Kosovo,Dominican Republic
Set_22,66,England,Set_22_066_(england).png,Which country does this flag belong to?,England,Colombia,China,Saint Barthélemy,England
Set_23,67,Ethiopia,Set_23_067_(ethiopia).png,Which country does this flag belong to?,Ecuador,"Congo, the Democratic Republic of the",Ethiopia,Germany,Ethiopia
Set_23,68,El Salvador,Set_23_068_(el_salvador).png,Which country does this flag belong to?,Nicaragua,Azerbaijan,Uruguay,El Salvador,El Salvador
Set_23,69,Equatorial Guinea,Set_23_069_(equatorial_guinea).png,Which country does this flag belong to?,Belarus,Equatorial Guinea,Caribbean Netherlands,Togo,Equatorial Guinea
Set_24,70,Fiji,Set_24_070_(fiji).png,Which country does this flag belong to?,Réunion,French Southern Territories,Fiji,Syrian Arab Republic,Fiji
Set_24,71,French Southern Territories,Set_24_071_(french_southern_territories).png,Which country does this flag belong to?,Burkina Faso,French Southern Territories,Costa Rica,Germany,French Southern Territories
Set_24,72,Eritrea,Set_24_072_(eritrea).png,Which country does this flag belong to?,Cayman Islands,Cyprus,Eritrea,US Minor Outlying Islands,Eritrea
Set_25,73,Finland,Set_25_073_(finland).png,Which country does this flag belong to?,Liberia,Turks and Caicos Islands,South Sudan,Finland,Finland
Set_25,74,Gabon,Set_25_074_(gabon).png,Which country does this flag belong to?,Finland,Djibouti,United States,Gabon,Gabon
Set_25,75,Europe,Set_25_075_(europe).png,Which country does this flag belong to?,Europe,Greece,Suriname,Somalia,Europe
Set_26,76,France,Set_26_076_(france).png,Which country does this flag belong to?,French Guiana,Northern Mariana Islands,Comoros,France,France
Set_26,77,Gambia,Set_26_077_(gambia).png,Which country does this flag belong to?,Cuba,Georgia,Gambia,Austria,Gambia
Set_26,78,Falkland Islands,Set_26_078_(falkland_islands).png,Which country does this flag belong to?,South Sudan,Singapore,Falkland Islands,Egypt,Falkland Islands
Set_27,79,Germany,Set_27_079_(germany).png,Which country does this flag belong to?,Uganda,Croatia,Germany,Pakistan,Germany
Set_27,80,Georgia,Set_27_080_(georgia).png,Which country does this flag belong to?,Georgia,Saint Lucia,Cape Verde,Trinidad and Tobago,Georgia
Set_27,81,Faroe Islands,Set_27_081_(faroe_islands).png,Which country does this flag belong to?,Ukraine,Pakistan,Mauritius,Faroe Islands,Faroe Islands
Set_28,82,Ghana,Set_28_082_(ghana).png,Which country does this flag belong to?,Greenland,Kazakhstan,Ghana,Falkland Islands,Ghana
Set_28,83,Guinea-Bissau,Set_28_083_(guinea-bissau).png,Which country does this flag belong to?,Kingdom of Eswatini,Honduras,Guinea-Bissau,Botswana,Guinea-Bissau
Set_28,84,French Guiana,Set_28_084_(french_guiana).png,Which country does this flag belong to?,French Guiana,Pitcairn,Virgin Islands Us,Wales,French Guiana
Set_29,85,Greece,Set_29_085_(greece).png,Which country does this flag belong to?,Dominica,Cook Islands,Bosnia and Herzegovina,Greece,Greece
Set_29,86,Guyana,Set_29_086_(guyana).png,Which country does this flag belong to?,Guyana,Albania,Singapore,Guam,Guyana
Set_29,87,French Polynesia,Set_29_087_(french_polynesia).png,Which country does this flag belong to?,Armenia,French Polynesia,Solomon Islands,"Bolivia, Plurinational State of",French Polynesia
Set_30,88,Guatemala,Set_30_088_(guatemala).png,Which country does this flag belong to?,Cameroon,"Venezuela, Bolivarian Republic of",Guatemala,Lebanon,Guatemala
Set_30,89,Haiti,Set_30_089_(haiti).png,Which country does this flag belong to?,North Macedonia,"Iran, Islamic Republic of",Colombia,Haiti,Haiti
Set_30,90,Gibraltar,Set_30_090_(gibraltar).png,Which country does this flag belong to?,Madagascar,India,Gibraltar,Republic of Türkiye,Gibraltar
Set_31,91,Honduras,Set_31_091_(honduras).png,Which country does this flag belong to?,Libya,Hong Kong,Honduras,Guernsey,Honduras
Set_31,92,Iraq,Set_31_092_(iraq).png,Which country does this flag belong to?,Bermuda,Liberia,Iraq,Solomon Islands,Iraq
Set_31,93,Greenland,Set_31_093_(greenland).png,Which country does this flag belong to?,Greenland,Timor-Leste,San Marino,Grenada,Greenland
Set_32,94,Hungary,Set_32_094_(hungary).png,Which country does this flag belong to?,Mozambique,Hungary,Qatar,Bosnia and Herzegovina,Hungary
Set_32,95,Jordan,Set_32_095_(jordan).png,Which country does this flag belong to?,Anguilla,Jordan,Burkina Faso,Solomon Islands,Jordan
Set_32,96,Grenada,Set_32_096_(grenada).png,Which country does this flag belong to?,Lesotho,Germany,South Sudan,Grenada,Grenada
Set_33,97,Iceland,Set_33_097_(iceland).png,Which country does this flag belong to?,Martinique,Isle of Man,Sudan,Iceland,Iceland
